tempo_ms,hx_raw,hx_net,invalid,beep_up,beep_down,trim_release,limit_top,limit_bottom,movement,ap,hyd,pos
124491,264366,49105,0,0,0,0,0,0,0,0,0,0
124783,264641,49380,0,0,0,0,0,0,0,0,0,0
125074,264606,49345,0,0,0,0,0,0,0,0,0,0
125365,264810,49549,0,0,0,0,0,0,0,0,0,0
125657,264858,49597,0,0,0,0,0,0,0,0,0,0
125948,264827,49566,0,0,0,0,0,0,0,0,0,0
126241,265112,49851,0,0,0,0,0,0,0,0,0,0
126532,265292,50031,0,0,0,0,0,0,0,0,0,0
126823,265042,49781,0,0,0,0,0,0,0,0,0,0
127115,264975,49714,0,0,0,0,0,0,0,0,0,0
127406,264965,49704,0,0,0,0,0,0,0,0,0,0
127697,265227,49966,0,0,0,0,0,0,0,0,0,0
127990,265007,49746,0,0,0,0,0,0,0,0,0,0
128281,265155,49894,0,0,0,0,0,0,0,0,0,0
128572,265083,49822,0,0,0,0,0,0,0,0,0,0
128864,265429,50168,0,0,0,0,0,0,0,0,0,0
129155,264974,49713,0,0,0,0,0,0,0,0,0,0
129446,265446,50185,0,0,0,0,0,0,0,0,0,0
129739,265245,49984,0,0,0,0,0,0,0,0,0,0
130030,265242,49981,0,0,0,0,0,0,0,0,0,0
130322,265664,50403,0,0,0,0,0,0,0,0,0,0
130613,265468,50207,0,0,0,0,0,0,0,0,0,0
130904,265407,50146,0,0,0,0,0,0,0,0,0,0
131196,265142,49881,0,0,0,0,0,0,0,0,0,0
131487,265580,50319,0,0,0,0,0,0,0,0,0,0
131779,265197,49936,0,0,0,0,0,0,0,0,0,0
132071,265453,50192,0,0,0,0,0,0,0,0,0,0
132362,265244,49983,0,0,0,0,0,0,0,0,0,0
132653,265051,49790,0,0,0,0,0,0,0,0,0,0
132945,265243,49982,0,0,0,0,0,0,0,0,0,0
133236,265255,49994,0,0,0,0,0,0,0,0,0,0
133528,265554,50293,0,0,0,0,0,0,0,0,0,0
133820,265222,49961,0,0,0,0,0,0,0,0,0,0
134111,265264,50003,0,0,0,0,0,0,0,0,0,0
134403,265449,50188,0,0,0,0,0,0,0,0,0,0
134694,265209,49948,0,0,0,0,0,0,0,0,0,0
134985,265449,50188,0,0,0,0,0,0,0,0,0,0
135277,265235,49974,0,0,0,0,0,0,0,0,0,0
135568,265143,49882,0,0,0,0,0,0,0,0,0,0
135860,265061,49800,0,0,0,0,0,0,0,0,0,0
136152,265273,50012,0,0,0,0,0,0,0,0,0,0
136443,265744,50483,0,0,0,0,0,0,0,0,0,0
136734,265827,50566,0,0,0,0,0,0,0,0,0,0
137026,265776,50515,0,0,0,0,0,0,0,0,0,0
137317,265671,50410,0,0,0,0,0,0,0,0,0,0
