tempo_ms,hx_raw,hx_net,delta,spikes,invalid
235899,249564,439,53,0,1
236192,249655,530,91,0,1
236485,249827,702,172,0,1
236777,249942,817,115,0,1
237071,249769,644,-173,0,1
237363,249778,653,9,0,1
237656,249757,632,-21,0,1
237948,249711,586,-46,0,1
238242,249644,519,-67,0,1
238534,249788,663,144,0,1
238827,249554,429,-234,0,1
239120,249468,343,-86,0,1
239413,249676,551,208,0,1
239706,249592,467,-84,0,1
239998,249610,485,18,0,1
240292,249790,665,180,0,1
240584,249751,626,-39,0,1
240877,250078,953,327,0,1
241171,249868,743,-210,0,1
241463,249792,667,-76,0,1
241756,249763,638,-29,0,1
242049,249646,521,-117,0,1
242342,249574,449,-72,0,1
242634,249594,469,20,0,1
242928,249717,592,123,0,1
243220,249754,629,37,0,1
243513,249742,617,-12,0,1
243806,249624,499,-118,0,1
244099,249381,256,-243,0,1
244391,249219,94,-162,0,1
244685,249360,235,141,0,1
244978,249242,117,-118,0,1
245270,249228,103,-14,0,1
245563,249075,-50,-153,0,1
245856,248876,-249,-199,0,1
246149,248838,-287,-38,0,1
246442,249038,-87,200,0,1
246734,249064,-61,26,0,1
247028,248968,-157,-96,0,1
247320,248912,-213,-56,0,1
247613,249041,-84,129,0,1
247906,248997,-128,-44,0,1
248199,249138,13,141,0,1
248492,249132,7,-6,0,1
248785,249197,72,65,0,1
249077,249003,-122,-194,0,1
249370,249138,13,135,0,1
249664,249173,48,35,0,1
249956,248976,-149,-197,0,1
250249,249021,-104,45,0,1
250541,248844,-281,-177,0,1
250835,249135,10,291,0,1
251128,248844,-281,-291,0,1
251420,248959,-166,115,0,1
251714,249188,63,229,0,1
252006,249034,-91,-154,0,1
252299,248817,-308,-217,0,1
252591,248952,-173,135,0,1
252885,249047,-78,95,0,1
253178,248845,-280,-202,0,1
253470,248999,-126,154,0,1
253763,248893,-232,-106,0,1
254057,248960,-165,67,0,1
254349,248849,-276,-111,0,1
254642,248938,-187,89,0,1
254934,248887,-238,-51,0,1
255228,248781,-344,-106,0,1
255521,248723,-402,-58,0,1
255813,248650,-475,-73,0,1
256107,248552,-573,-98,0,1
256399,248745,-380,193,0,1
256692,248809,-316,64,0,1
256985,248584,-541,-225,0,1
257278,248553,-572,-31,0,1
257570,248594,-531,41,0,1
257863,248500,-625,-94,0,1
258157,248654,-471,154,0,1
258449,248629,-496,-25,0,1
258742,248588,-537,-41,0,1
259034,248643,-482,55,0,1
259328,248799,-326,156,0,1
259621,248874,-251,75,0,1
259914,248928,-197,54,0,1
260207,248998,-127,70,0,1
260499,249067,-58,69,0,1
260792,249058,-67,-9,0,1
261086,249115,-10,57,0,1
